CODE,LABEL,YEAR,LAND AREA  ha,WATER USE ON AUSTRALIAN FARMS Area of agricultural land ha,WATER USE ON AUSTRALIAN FARMS Area irrigated ha,WATER USE ON AUSTRALIAN FARMS Volume of water applied ML,"WATER USE ON AUSTRALIAN FARMS Application rate, area watered and used ML/ha",PROTECTED AREAS  Indigenous Protected Area no.,PROTECTED AREAS National Parks no.,PROTECTED AREAS Nature Reserves no.,PROTECTED AREAS All Other Protected Areas no.,PROTECTED AREAS Total no.,PROTECTED AREAS  Indigenous Protected Area ha,PROTECTED AREAS National Parks ha,PROTECTED AREAS Nature Reserves ha,PROTECTED AREAS All Other Protected Areas ha,PROTECTED AREAS Total ha,PROTECTED AREAS  Indigenous Protected Area %,PROTECTED AREAS National Parks %,PROTECTED AREAS Nature Reserves %,PROTECTED AREAS All Other Protected Areas %,PROTECTED AREAS Total %,SOLAR INSTALLATIONS Small-Scale Solar Panel System Installations no.,SOLAR INSTALLATIONS Increase in installations from previous year %,SOLAR INSTALLATIONS Solar Water Heater Installations no.,SOLAR INSTALLATIONS Increase in SWH installations from previous year %
401041016,Rostrevor - Magill,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,327",10.9,361,3.1
401041016,Rostrevor - Magill,2018,993.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
401051017,Norwood (SA),2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,690,-,104,-
401051017,Norwood (SA),2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,736,6.7,105,1
401051017,Norwood (SA),2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,784,6.5,107,1.9
401051017,Norwood (SA),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,860,9.7,114,6.5
401051017,Norwood (SA),2018,389.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
401051018,Payneham - Felixstow,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,990,-,127,-
401051018,Payneham - Felixstow,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,054",6.5,132,3.9
401051018,Payneham - Felixstow,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,111",5.4,135,2.3
401051018,Payneham - Felixstow,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,214",9.3,141,4.4
401051018,Payneham - Felixstow,2018,522.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
401051019,St Peters - Marden,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,112",-,153,-
401051019,St Peters - Marden,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,187",6.7,160,4.6
401051019,St Peters - Marden,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,257",5.9,163,1.9
401051019,St Peters - Marden,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,380",9.8,167,2.5
401051019,St Peters - Marden,2018,598.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
401061020,Nailsworth - Broadview,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,514,-,66,-
401061020,Nailsworth - Broadview,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,540,5.1,67,1.5
401061020,Nailsworth - Broadview,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,576,6.7,69,3
401061020,Nailsworth - Broadview,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,634,10.1,70,1.4
401061020,Nailsworth - Broadview,2018,231.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
401061021,Prospect,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,203",-,163,-
401061021,Prospect,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,278",6.2,166,1.8
401061021,Prospect,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,339",4.8,169,1.8
401061021,Prospect,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,461",9.1,186,10.1
401061021,Prospect,2018,547.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
401061022,Walkerville,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,626,-,99,-
401061022,Walkerville,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,671,7.2,103,4
401061022,Walkerville,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,724,7.9,107,3.9
401061022,Walkerville,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,805,11.2,110,2.8
401061022,Walkerville,2018,353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
401071023,Goodwood - Millswood,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,432",-,201,-
401071023,Goodwood - Millswood,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,521",6.2,210,4.5
401071023,Goodwood - Millswood,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,642",8,220,4.8
401071023,Goodwood - Millswood,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,805",9.9,228,3.6
401071023,Goodwood - Millswood,2018,719.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
401071024,Unley - Parkside,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,517",-,234,-
401071024,Unley - Parkside,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,627",7.3,242,3.4
401071024,Unley - Parkside,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,757",8,254,5
401071024,Unley - Parkside,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,960",11.6,261,2.8
401071024,Unley - Parkside,2018,707.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402011025,Gawler - North,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,173",-,345,-
402011025,Gawler - North,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,251",6.6,350,1.4
402011025,Gawler - North,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,328",6.2,363,3.7
402011025,Gawler - North,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,449",9.1,379,4.4
402011025,Gawler - North,2018,"14,552.90",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402011026,Gawler - South,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,277",-,540,-
402011026,Gawler - South,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,427",6.6,554,2.6
402011026,Gawler - South,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,599",7.1,574,3.6
402011026,Gawler - South,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,835",9.1,593,3.3
402011026,Gawler - South,2018,"7,671.40",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402011027,Lewiston - Two Wells,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,853,-,256,-
402011027,Lewiston - Two Wells,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,907,6.3,266,3.9
402011027,Lewiston - Two Wells,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,982,8.3,271,1.9
402011027,Lewiston - Two Wells,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,068",8.8,281,3.7
402011027,Lewiston - Two Wells,2018,"8,462.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402021028,Craigmore - Blakeview,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,807",-,488,-
402021028,Craigmore - Blakeview,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,940",7.4,517,5.9
402021028,Craigmore - Blakeview,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,080",7.2,531,2.7
402021028,Craigmore - Blakeview,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,252",8.3,541,1.9
402021028,Craigmore - Blakeview,2018,"1,188.10",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402021029,Davoren Park,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,419",-,523,-
402021029,Davoren Park,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,527",7.6,552,5.5
402021029,Davoren Park,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,651",8.1,566,2.5
402021029,Davoren Park,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,798",8.9,581,2.7
402021029,Davoren Park,2018,946.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402021030,Elizabeth,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,860,-,300,-
402021030,Elizabeth,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,912,6,333,11
402021030,Elizabeth,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,978,7.2,349,4.8
402021030,Elizabeth,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,042",6.5,361,3.4
402021030,Elizabeth,2018,926.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402021031,Elizabeth East,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,986,-,396,-
402021031,Elizabeth East,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,051",6.6,431,8.8
402021031,Elizabeth East,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,133",7.8,448,3.9
402021031,Elizabeth East,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,216",7.3,464,3.6
402021031,Elizabeth East,2018,816.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402021032,Munno Para West - Angle Vale,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,011",-,368,-
402021032,Munno Para West - Angle Vale,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,099",8.7,376,2.2
402021032,Munno Para West - Angle Vale,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,230",11.9,392,4.3
402021032,Munno Para West - Angle Vale,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,369",11.3,406,3.6
402021032,Munno Para West - Angle Vale,2018,"4,431.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402021033,One Tree Hill,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,274,-,70,-
402021033,One Tree Hill,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,294,7.3,74,5.7
402021033,One Tree Hill,2016,-,-,-,-,-,-,-,-,3,3,-,-,-,"1,765","1,765",-,-,-,13.6,13.6,315,7.1,76,2.7
402021033,One Tree Hill,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,342,8.6,77,1.3
402021033,One Tree Hill,2018,"13,016.90",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402021034,Smithfield - Elizabeth North,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,932,-,399,-
402021034,Smithfield - Elizabeth North,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,009",8.3,418,4.8
402021034,Smithfield - Elizabeth North,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,111",10.1,429,2.6
402021034,Smithfield - Elizabeth North,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,227",10.4,444,3.5
402021034,Smithfield - Elizabeth North,2018,798.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402021035,Virginia - Waterloo Corner,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,535,-,108,-
402021035,Virginia - Waterloo Corner,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,579,8.2,110,1.9
402021035,Virginia - Waterloo Corner,2016,-,-,-,-,-,-,-,-,1,1,-,-,-,143,143,-,-,-,1.1,1.1,638,10.2,112,1.8
402021035,Virginia - Waterloo Corner,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,705,10.5,114,1.8
402021035,Virginia - Waterloo Corner,2018,"13,556.60",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402031036,Enfield - Blair Athol,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,849",-,294,-
402031036,Enfield - Blair Athol,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,042",10.4,329,11.9
402031036,Enfield - Blair Athol,2016,-,-,-,-,-,-,-,-,1,1,-,-,-,4,4,-,-,-,0.3,0.3,"2,232",9.3,363,10.3
402031036,Enfield - Blair Athol,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,489",11.5,390,7.4
402031036,Enfield - Blair Athol,2018,"1,517.70",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402031037,Northgate - Oakden - Gilles Plains,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,291",-,461,-
402031037,Northgate - Oakden - Gilles Plains,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,485",8.5,504,9.3
402031037,Northgate - Oakden - Gilles Plains,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,665",7.2,552,9.5
402031037,Northgate - Oakden - Gilles Plains,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,930",9.9,588,6.5
402031037,Northgate - Oakden - Gilles Plains,2018,"1,123.40",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402031038,Windsor Gardens,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,809",-,337,-
402031038,Windsor Gardens,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,934",6.9,349,3.6
402031038,Windsor Gardens,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,054",6.2,361,3.4
402031038,Windsor Gardens,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,253",9.7,371,2.8
402031038,Windsor Gardens,2018,843,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402041039,Dry Creek - North,2018,"3,856.70",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402041040,Ingle Farm,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,962",-,303,-
402041040,Ingle Farm,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,057",4.8,319,5.3
402041040,Ingle Farm,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,143",4.2,332,4.1
402041040,Ingle Farm,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,247",4.9,340,2.4
402041040,Ingle Farm,2018,742.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402041041,Para Hills,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,835",-,157,-
402041041,Para Hills,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,928",5.1,164,4.5
402041041,Para Hills,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,043",6,168,2.4
402041041,Para Hills,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,176",6.5,173,3
402041041,Para Hills,2018,"1,017.30",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402041042,Parafield,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-
402041042,Parafield,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,20,-,-
402041042,Parafield,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,33.3,-,-
402041042,Parafield,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,12.5,-,-
402041042,Parafield,2018,462.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402041043,Parafield Gardens,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,861",-,178,-
402041043,Parafield Gardens,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,025",8.8,202,13.5
402041043,Parafield Gardens,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,178",7.6,226,11.9
402041043,Parafield Gardens,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,333",7.1,229,1.3
402041043,Parafield Gardens,2018,702.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402041044,Paralowie,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,568",-,220,-
402041044,Paralowie,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,689",7.7,230,4.5
402041044,Paralowie,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,799",6.5,241,4.8
402041044,Paralowie,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,924",6.9,246,2.1
402041044,Paralowie,2018,832.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402041046,Salisbury,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,614",-,236,-
402041046,Salisbury,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,732",7.3,245,3.8
402041046,Salisbury,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,853",7,257,4.9
402041046,Salisbury,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,984",7.1,263,2.3
402041046,Salisbury,2018,"1,077.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402041047,Salisbury East,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,951",-,246,-
402041047,Salisbury East,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,052",5.2,254,3.3
402041047,Salisbury East,2016,-,-,-,-,-,-,-,-,1,1,-,-,-,267,267,-,-,-,18,18,"2,210",7.7,266,4.7
402041047,Salisbury East,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,364",7,275,3.4
402041047,Salisbury East,2018,"1,485.10",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402041048,Salisbury North,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,568",-,217,-
402041048,Salisbury North,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,696",8.2,225,3.7
402041048,Salisbury North,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,813",6.9,234,4
402041048,Salisbury North,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,944",7.2,240,2.6
402041048,Salisbury North,2018,"3,130.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402041171,Mawson Lakes - Globe Derby Park,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,157",-,"1,154",-
402041171,Mawson Lakes - Globe Derby Park,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,236",6.8,"1,157",0.3
402041171,Mawson Lakes - Globe Derby Park,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,316",6.5,"1,167",0.9
402041171,Mawson Lakes - Globe Derby Park,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,410",7.1,"1,176",0.8
402041171,Mawson Lakes - Globe Derby Park,2018,961.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402041172,Pooraka - Cavan,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,814,-,689,-
402041172,Pooraka - Cavan,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,869,6.8,691,0.3
402041172,Pooraka - Cavan,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,925,6.4,697,0.9
402041172,Pooraka - Cavan,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,991,7.1,703,0.9
402041172,Pooraka - Cavan,2018,749,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402051049,Golden Grove,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,208",-,76,-
402051049,Golden Grove,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,263",4.6,80,5.3
402051049,Golden Grove,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,324",4.8,80,-
402051049,Golden Grove,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,408",6.3,82,2.5
402051049,Golden Grove,2018,"2,661.40",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402051050,Greenwith,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,165",-,64,-
402051050,Greenwith,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,218",4.5,67,4.7
402051050,Greenwith,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,276",4.8,67,-
402051050,Greenwith,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,357",6.3,69,3
402051050,Greenwith,2018,603.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402051051,Highbury - Dernancourt,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,128",-,169,-
402051051,Highbury - Dernancourt,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,183",4.9,171,1.2
402051051,Highbury - Dernancourt,2016,-,-,-,-,-,-,-,-,1,1,-,-,-,26,26,-,-,-,2.2,2.2,"1,230",4,177,3.5
402051051,Highbury - Dernancourt,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,329",8,182,2.8
402051051,Highbury - Dernancourt,2018,"1,200.10",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402051052,Hope Valley - Modbury,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,878",-,245,-
402051052,Hope Valley - Modbury,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,974",5.1,262,6.9
402051052,Hope Valley - Modbury,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,065",4.6,281,7.3
402051052,Hope Valley - Modbury,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,200",6.5,304,8.2
402051052,Hope Valley - Modbury,2018,"1,031.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402051053,Modbury Heights,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,183",-,188,-
402051053,Modbury Heights,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,277",4.3,203,8
402051053,Modbury Heights,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,394",5.1,211,3.9
402051053,Modbury Heights,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,553",6.6,218,3.3
402051053,Modbury Heights,2018,990.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402051054,Redwood Park,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,767",-,272,-
402051054,Redwood Park,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,866",5.6,280,2.9
402051054,Redwood Park,2016,-,-,-,-,-,-,-,-,1,1,-,-,-,12,12,-,-,-,0.9,0.9,"1,947",4.3,290,3.6
402051054,Redwood Park,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,069",6.3,295,1.7
402051054,Redwood Park,2018,"1,414.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
402051055,St Agnes - Ridgehaven,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,412",-,215,-
