LABEL,lat,long
Narrandera,-34.5926463,146.7000438
Narromine,-32.2317016,147.9528517
Narwee - Beverly Hills,-33.9408291,151.0747109
Nelson Bay Peninsula,-32.7196367,152.1090416
Neutral Bay - Kirribilli,-33.8342887,151.2182049
Newcastle - Cooks Hill,-32.9316667,151.7677778
Newcastle Port - Kooragang,-32.87850105,151.7735145
Newport - Bilgola,-33.6443165,151.324484
Newtown - Camperdown - Darlington,-37.9986928,143.0512418
Niagara Park - Lisarow,-33.3816667,151.3511111
Normanhurst - Thornleigh - Westleigh,-33.7238649,151.0977351
North Nowra - Bomaderry,-34.8580611,150.5827879
North Parramatta,-33.7952747,151.0116649
North Rocks,-33.7713052,151.020996
North Ryde - East Ryde,-33.7975472,151.127306
North Sydney - Lavender Bay,-33.8432002,151.2074155
Northmead,-33.7844423,150.9983289
Nowra,-34.8741198,150.6004709
Nyngan - Warren,-31.5523045,147.2927515
Oatlands - Dundas Valley,-42.3018682,147.3728654
Oatley - Hurstville Grove,-33.9824727,151.0903358
Oberon,-33.8455931,149.8326162
Old Bar - Manning Point - Red Head,-31.965,152.5844444
Orange,-33.32924175,149.1081466
Orange - North,-33.32924175,149.1081466
Orange Region,-33.32924175,149.1081466
Ourimbah - Fountaindale,-33.365,151.3677778
Oyster Bay - Como - Jannali,-34.0032775,151.0812354
Paddington - Moore Park,-33.8895965,151.233621
Padstow,-33.9487767,151.030116
Pagewood - Hillsdale - Daceyville,-33.936838,151.2216943
Panania - Milperra - Picnic Point,-33.9532567,150.9968874
Parkes (NSW),-32.8225409,147.9761363
Parkes Region,-32.8225409,147.9761363
Parklea - Kellyville Ridge,-33.725,150.9161111
Parramatta - Rosehill,-33.8263889,151.0305556
Peakhurst - Lugarno,-33.9686148,151.0524
Pendle Hill - Girraween,-33.8000678,150.9502022
Pennant Hills - Cheltenham,-33.7384663,151.0716639
Penrith,-33.7510792,150.6941684
Petersham - Stanmore,-33.8944866,151.1640756
Picton - Tahmoor - Buxton,-33.3524871,115.6940905
Pitt Town - McGraths Hill,-33.5846533,150.8709805
Point Clare - Koolewong,-33.44,151.3261111
Port Kembla - Warrawong,-34.486422,150.8896532
Port Kembla Industrial,-34.464305,150.8572761
Port Macquarie - East,-31.4299499,152.9103525
Port Macquarie - West,-31.4299499,152.9103525
Port Macquarie Region,-31.4299499,152.9103525
Potts Point - Woolloomooloo,-33.86729465,151.2212454
Pottsville,-28.3869444,153.5608333
Prestons - Edmondson Park,-33.9415149,150.8747464
Prospect Reservoir,-33.8212526,150.8956962
Punchbowl,-33.928717,151.0522591
Putney,-33.826067,151.1064224
Pymble,-33.7450185,151.1424708
Pyrmont - Ultimo,-33.8768061,151.1991565
Quakers Hill,-33.7344444,150.8788889
Queanbeyan,-35.3524663,149.2337245
Queanbeyan - East,-35.3455488,149.2465067
Queanbeyan Region,-35.3524663,149.2337245
Queanbeyan West - Jerrabomberra,-35.3833355,149.2013053
Quirindi,-31.5021772,150.6804062
Randwick - North,-33.914121,151.2410046
Randwick - South,-33.914121,151.2410046
Raymond Terrace,-32.7610569,151.7462299
Redfern - Chippendale,-33.8888359,151.1998823
Redhead,-33.0111111,151.7077778
Regents Park,-27.674787,153.0428551
Revesby,-33.9436876,151.0137191
Richmond - Clarendon,-33.6086191,150.7879859
Riverstone - Marsden Park,-33.6817697,150.8488057
Riverwood,-33.9472222,151.0530556
Robertson - Fitzroy Falls,-27.5647285,153.0576815
Rockdale - Banksia,-33.9474034,151.140446
Rooty Hill - Minchinbury,-33.780842,150.828357
Rose Bay - Vaucluse - Watsons Bay,-33.8741644,151.265471
Roselands,-33.9339943,151.0765121
Rosemeadow - Glen Alpine,-34.1066667,150.7927778
Rouse Hill - Beaumont Hills,-33.69235075,150.924605
Royal National Park,-34.11219955,151.0267269
Ryde,-33.8015751,151.1046184
Sans Souci - Ramsgate,-33.9926292,151.1337972
Saratoga - Davistown,-33.4765688,151.3585393
Sawtell - Boambee,-30.3316667,153.0844444
Scone,-32.0466349,150.8670217
Scone Region,-32.0466349,150.8670217
Seaham - Woodville,-32.6615292,151.7267675
Seven Hills - Toongabbie,-33.77830775,150.9373847
Shellharbour - Flinders,-34.580956,150.846003
Shellharbour - Oak Flats,-34.5636037,150.8194112
Shortland - Jesmond,-32.8816613,151.6871202
Singleton,-32.602355,151.1132887
Singleton Region,-32.602355,151.1132887
Smithfield - Wetherill Park,-33.850816,150.909686
South Hurstville - Blakehurst,-33.9777213,151.1060554
South West Rocks,-30.89521355,153.0388745
Southern Highlands,-34.4706676,150.4184048
Springwood - Winmalee,-33.6655154,150.6034617
St Clair,-33.7983333,150.7844444
St Georges Basin - Erowal Bay,-35.096811,150.6069763
St Ives,-33.7258869,151.1727212
St Johns Park - Wakeley,-33.8816667,150.9011111
St Leonards - Naremburn,-33.8168568,151.1943008
St Marys - North St Marys,-33.7544444,150.7858333
Stockton - Fullerton Cove,-32.8479228,151.8344202
Strathfield,-33.87981765,151.0785246
Strathfield South,-33.8966667,151.0788889
Summerland Point - Gwandalan,-33.1395583,151.5842818
Surry Hills,-33.8845123,151.2100301
Sussex Inlet - Berrara,-35.1344598,150.5191372
Sutherland - Kirrawee,-34.0344781,151.0726428
Swansea - Caves Beach,-33.0972379,151.6421775
Sydenham - Tempe - St Peters,-37.6997223,144.7653295
Sydney - Haymarket - The Rocks,-33.8548157,151.2164539
Sylvania - Taren Point,-34.0141205,151.0988161
Tamworth - East,-30.9220482,150.9098564
Tamworth - North,-30.9220482,150.9098564
Tamworth - West,-30.9220482,150.9098564
Tamworth Region,-30.9220482,150.9098564
Taree,-31.912864,152.4608481
Taree Region,-31.912864,152.4608481
Tea Gardens - Hawks Nest,-32.6671205,152.161021
Temora,-34.3830356,147.468586
Tenterfield,-28.83907675,152.2806523
Terranora - North Tumblegum,-28.2455556,153.5094444
Terrey Hills - Duffys Forest,-33.6918185,151.2205908
Terrigal - North Avoca,-33.4566667,151.4344444
The Entrance,-33.3483343,151.5011108
The Oaks - Oakdale,-35.97784,147.43275
Thirroul - Austinmer - Coalcliff,-34.3164691,150.918932
Thornton - Millers Forest,-37.2542028,145.7986671
Tocumwal - Finley - Jerilderie,-35.3886604,145.713516
Tomerong - Wandandian - Woollamia,-35.0587865,150.5778602
Toongabbie - Constitution Hill,-33.7971736,150.9800809
Toronto - Awaba,-33.0046099,151.5742278
Toukley - Norah Head,-33.2711177,151.5626815
Tuggerah - Kangy Angy,-33.317743,151.3939785
Tumbarumba,-35.7764898,148.010062
Tumut,-35.3038889,148.2233333
Tumut Region,-35.3038889,148.2233333
Tuncurry,-32.1755506,152.4982615
Turramurra,-33.7354346,151.1300645
Tweed Heads,-28.181708,153.5469621
Tweed Heads South,-28.2003,153.5349368
Ulladulla,-35.3621503,150.4751713
Ulladulla Region,-35.3621503,150.4751713
Umina - Booker Bay - Patonga,-33.5177778,151.3094444
Unanderra - Mount Kembla,-34.4547333,150.8460159
Urunga,-30.51882815,152.9967432
Valentine - Eleebana,-33.0039698,151.6470829
Wagga Wagga - East,-35.115,147.3677778
Wagga Wagga - North,-35.115,147.3677778
Wagga Wagga - South,-35.115,147.3677778
Wagga Wagga - West,-35.115,147.3677778
Wagga Wagga Region,-35.115,147.3677778
Wahroonga (East) - Warrawee,-33.724191,151.1216996
Waitara - Wahroonga (West),-33.7133412,151.1092768
Walcha,-31.1975806,151.7491266
Walgett - Lightning Ridge,-29.4285225,147.9779203
Wallsend - Elermore Vale,-32.9106937,151.6603239
Wamberal - Forresters Beach,-33.41256685,151.4536422
Wangi Wangi - Rathmines,-33.0346549,151.5640239
Waratah - North Lambton,-32.9050598,151.7239702
Warilla,-34.552341,150.8594438
Warners Bay - Boolaroo,-32.9739199,151.6489887
Warnervale - Wadalba,-33.2483333,151.4311111
Warragamba - Silverdale,-33.8890386,150.6039175
Warriewood - Mona Vale,-33.68984445,151.3087865
Warwick Farm,-33.915,150.9344444
Waterloo - Beaconsfield,-33.9002762,151.2073137
Wauchope,-31.4557879,152.734664
Wellington,-32.5542815,148.9515327
Wentworth - Buronga,-34.1692396,142.1813037
Wentworth Falls,-33.7156389,150.3697595
Wentworth-Balranald Region,-34.1077255,141.919296
Wentworthville - Westmead,-33.8066667,150.9677778
West Hoxton - Middleton Grange,-33.9316667,150.8344444
West Pennant Hills,-33.7478359,151.0350621
West Ryde - Meadowbank,-33.8174993,151.0884249
West Wallsend - Barnsley - Killingworth,-32.9032721,151.5818517
West Wyalong,-33.923661,147.2050849
Wickham - Carrington - Tighes Hill,-32.9233333,151.7594444
Wiley Park,-33.9230556,151.0677778
Williamtown - Medowie - Karuah,-32.815,151.8427778
Willoughby - Castle Cove - Northbridge,-33.8111111,151.2175
Windang - Primbee,-34.5075139,150.8759251
Windsor - Bligh Park,-33.6383333,150.7980556
Wingham,-31.865,152.3677778
Winston Hills,-33.7761098,150.9816606
Wollongong - East,-34.4252939,150.8964872
Wollongong - West,-34.4243941,150.89385
Woolaware - Burraneer,-34.0448411,151.1401717
Woolgoolga - Arrawarra,-30.070869,153.1504105
Woollahra,-33.86179175,151.2733416
Woonona - Bulli - Russell Vale,-34.3455556,150.9041667
Woy Woy - Blackwall,-33.5042284,151.329384
Wyoming,-33.4066667,151.3594444
Wyong,-33.285641,151.4253064
Yagoona - Birrong,-33.8988655,151.0288783
Yarramundi - Londonderry,-31.2347531,148.4678708
Yass,-34.8362784,148.9156645
Yass Region,-34.8362784,148.9156645
Young,-34.3103512,148.2971801
Young Region,-34.3103512,148.2971801
